year,make,model,fuel_type,fc_city_l100,fc_hwy_l100,fc_comb_l100
2000,ACURA,1.6EL,X,10.5,8,9.4
2000,ACURA,1.6EL,X,9.8,7.8,8.9
2000,ACURA,3.2TL,Z,13.7,8.8,11.5
2000,ACURA,3.5RL,Z,15,10.9,13.1
2000,ACURA,INTEGRA,X,11.4,8.3,10
2000,ACURA,INTEGRA,X,10.6,8.1,9.5
2000,ACURA,INTEGRA GSR/TYPE R,Z,10.8,8.3,9.7
2000,ACURA,NSX,Z,15.2,10.9,13.3
2000,ACURA,NSX,Z,15.4,10.7,13.3
2000,AUDI,A4,Z,12.9,8.6,10.9
2000,AUDI,A4,Z,11.1,8.1,9.7
2000,AUDI,A4,Z,14.6,9.7,12.4
2000,AUDI,A4,Z,13.2,8.9,11.3
2000,AUDI,A4 QUATTRO,Z,13.6,9.1,11.6
2000,AUDI,A4 QUATTRO,Z,12.1,8.9,10.7
2000,AUDI,A4 QUATTRO,Z,14.9,10.1,12.7
2000,AUDI,A4 QUATTRO,Z,14.3,10.3,12.5
2000,AUDI,A6,Z,15,10.2,12.8
2000,AUDI,A6 AVANT QUATTRO,Z,15.4,10.7,13.3
2000,AUDI,A6 QUATTRO,Z,15.2,10.6,13.2
2000,AUDI,A6 QUATTRO,Z,15.2,10.7,13.2
2000,AUDI,A6 QUATTRO,Z,15.4,10.7,13.3
2000,AUDI,A6 QUATTRO,Z,14.6,10.9,12.9
2000,AUDI,A6 QUATTRO,Z,15.5,10.7,13.4
2000,AUDI,A8 QUATTRO,Z,15.5,10.7,13.4
2000,AUDI,S4 QUATTRO,Z,15.2,10.6,13.2
2000,AUDI,S4 QUATTRO,Z,15.2,10.7,13.2
2000,AUDI,TT COUPE QUATTRO,Z,13.1,9,11.3
2000,AUDI,TT COUPE QUATTRO (SUPERCHARGED),Z,13.1,9.1,11.3
2000,AUDI,TT ROADSTER,Z,12.3,8.7,10.7
2000,AUDI,TT ROADSTER QUATTRO (SUPERCHARGED),Z,13.1,9.1,11.3
2000,BMW,323 CONVERTIBLE,Z,14.6,10.5,12.7
2000,BMW,323 CONVERTIBLE,Z,13.9,10.2,12.2
2000,BMW,323Ci,Z,13.8,9.3,11.8
2000,BMW,323Ci,Z,13,8.9,11.2
2000,BMW,323i,Z,13.8,9.3,11.8
2000,BMW,323i,Z,13,8.9,11.2
2000,BMW,328Ci,Z,13.9,9.4,11.9
2000,BMW,328Ci,Z,13,8.9,11.2
2000,BMW,328i,Z,13.9,9.4,11.9
2000,BMW,328i,Z,13,8.9,11.2
2000,BMW,528i,Z,14.6,9.9,12.5
2000,BMW,528i,Z,13,8.9,11.2
2000,BMW,528i TOURING,Z,14.6,9.9,12.5
2000,BMW,528i TOURING,Z,14.5,9.8,12.4
2000,BMW,540i,Z,14.7,10.4,12.8
2000,BMW,540i,Z,16.4,10.7,13.8
2000,BMW,540i TOURING,Z,15.5,11.9,13.9
2000,BMW,740i,Z,15.4,10.9,13.4
2000,BMW,740iL,Z,15.4,10.9,13.4
2000,BMW,750iL,Z,19.1,12.7,16.2
2000,BMW,M COUPE,Z,13.9,10.1,12.2
2000,BMW,M ROADSTER,Z,13.9,10.1,12.2
2000,BMW,M5,Z,19.6,12.2,16.3
2000,BMW,X5,Z,14.9,10.2,12.8
2000,BMW,Z3,Z,14,9.8,12.1
2000,BMW,Z3,Z,13.4,9.5,11.6
2000,BMW,Z3,Z,13.9,9.9,12.1
2000,BMW,Z3,Z,13.9,9.9,12.1
2000,BMW,Z8,Z,19.3,13,16.5
2000,BUICK,CENTURY,X,13.1,8.7,11.1
2000,BUICK,LESABRE,X,13.8,8.7,11.5
2000,BUICK,PARK AVENUE,X,14.4,9.1,12
2000,BUICK,PARK AVENUE #,Z,15.1,9.5,12.6
2000,BUICK,REGAL,X,13.5,8.8,11.4
2000,BUICK,REGAL #,Z,15.1,9.5,12.6
2000,CADILLAC,CATERA,Z,14.7,10.4,12.8
2000,CADILLAC,DEVILLE,Z,15.5,9.6,12.9
2000,CADILLAC,ELDORADO,Z,15.5,9.6,12.9
2000,CADILLAC,ESCALADE 4X4,X,21.2,15.7,18.7
2000,CADILLAC,SEVILLE,Z,15.5,9.6,12.9
2000,CHEVROLET,ASTRO AWD CARGO,X,17,13,15.2
2000,CHEVROLET,ASTRO AWD PASSENGER,X,17.4,13.4,15.6
2000,CHEVROLET,ASTRO CARGO,X,16.2,12.7,14.6
2000,CHEVROLET,ASTRO PASSENGER,X,17.7,13.9,16
2000,CHEVROLET,BLAZER,X,16.2,12.7,14.6
2000,CHEVROLET,BLAZER,X,16.3,11.7,14.2
2000,CHEVROLET,BLAZER 4X4,X,16.9,13,15.2
2000,CHEVROLET,BLAZER 4X4,X,18.7,14.5,16.8
2000,CHEVROLET,C1500 SILVERADO,X,17.7,13.9,16
2000,CHEVROLET,C1500 SILVERADO,X,18.5,14.4,16.7
2000,CHEVROLET,C1500 SILVERADO,X,16.3,12.2,14.5
2000,CHEVROLET,C1500 SILVERADO,X,18.9,12.9,16.2
2000,CHEVROLET,C1500 SILVERADO,X,16.7,12.7,14.9
2000,CHEVROLET,C2500 SILVERADO,X,17.9,14.1,16.2
2000,CHEVROLET,C2500 SILVERADO,X,21.4,15.9,18.9
2000,CHEVROLET,CAMARO,X,13.9,8.9,11.7
2000,CHEVROLET,CAMARO,X,13.7,8.5,11.4
2000,CHEVROLET,CAMARO,Z,15.4,10.7,13.3
2000,CHEVROLET,CAMARO,Z,14.7,9.6,12.4
2000,CHEVROLET,CAVALIER,X,11.6,8.2,10.1
2000,CHEVROLET,CAVALIER,X,12.2,7.8,10.2
2000,CHEVROLET,CAVALIER,X,12.5,8.8,10.8
2000,CHEVROLET,CAVALIER,X,12.1,7.8,10.2
